Codigo,Especialidad,Descripcion,GrupoQuirurgico,ValorCOP
1101,Quirur.,Craneotomía para extracción cuerpo extraño; incluye esquirlectomía 9,9.0,2376100.0
1102,Quirur.,Craneotomía para drenaje hematoma epidural o subdural 20,20.0,3572200.0
1103,Quirur.,Craneotomía para extracción secuestro 8,8.0,2080700.0
1104,Quirur.,Craneotomía para drenaje de hematoma de fosa posterior 20,20.0,3572200.0
1106,Quirur.,Craneotomía para ruptura de senos de duramadre 20,20.0,3572200.0
1107,Quirur.,Trepanación para monitoreo de presión intracraneana 12,12.0,3641200.0
1108,Quirur.,Craneotomía para drenaje hematoma intracerebral 13,13.0,3886300.0
1110,Quirur.,Tratamiento de malformaciones arterio venosas supratentoriales 21,21.0,4300500.0
1111,Quirur.,Tratamiento de malformaciones arterio venosas infratentoriales 23,23.0,7112200.0
1112,Quirur.,"Tratamiento de malformaciones arterio venosas de línea media e intraventricular 22",22.0,4980800.0
1113,Quirur.,Apertura de seno cavernoso por fístula o aneurisma 23,23.0,7112200.0
1114,Quirur.,Revascularización supratentorial e infratentorial 22,22.0,4980800.0
1116,Quirur.,Endarterectomía de vaso de cuello 21,21.0,4300500.0
1117,Quirur.,Embolización para cateterismo de arterias intracraneanas 21,21.0,4300500.0
1118,Quirur.,Angioplastia intraluminar 21,21.0,4300500.0
1120,Quirur.,Craneotomía para extirpación adenomas hipofisiarios 22,22.0,4980800.0
1121,Quirur.,"Craneotomía para extirpación adenomas hipofisiarios (vía transesfenoidal) 22",22.0,4980800.0
1124,Quirur.,Craneotomía para pinealectomía 23,23.0,7112200.0
1125,Quirur.,Craneotomía para resección de tumores de fosa anterior 20,20.0,3572200.0
1126,Quirur.,Craneotomía para resección de tumores de fosa media 20,20.0,3572200.0
1127,Quirur.,Craneotomía para resección de tumores de fosa posterior 21,21.0,4300500.0
1128,Quirur.,Craneotomía para tumores del ángulo ponto cerebeloso 22,22.0,4980800.0
1131,Quirur.,Tratamiento por vía anterior para tumores de clivus 23,23.0,7112200.0
1132,Quirur.,Craneotomía para tumores de hoz de cerebro 20,20.0,3572200.0
1133,Quirur.,Craneotomía para tumores de cuerpo calloso 20,20.0,3572200.0
1140,Quirur.,Leucotomía 12,12.0,3641200.0
1141,Quirur.,Lobectomía 20,20.0,3572200.0
1142,Quirur.,Lobotomía (psicocirugía estereotáxica) 12,12.0,3641200.0
1143,Quirur.,Hemisferectomía 22,22.0,4980800.0
1144,Quirur.,Extirpación de lesión y/o tejido de las meninges cerebrales 20,20.0,3572200.0
1145,Quirur.,Reparación encéfalocele 20,20.0,3572200.0
1146,Quirur.,Reparación meningocele craneal 20,20.0,3572200.0
1147,Quirur.,Tratamiento de platibasia (Síndrome de Arnold Chiari) 22,22.0,4980800.0
1148,Quirur.,Corrección de enfermedad de Crouzón 23,23.0,7112200.0
1149,Quirur.,Injertos intracraneanos (médula suprarrenal) 22,22.0,4980800.0
1150,Quirur.,"Punción estereotáxica de quistes, abcesos y hematomas intracraneanos 20",20.0,3572200.0
1151,Quirur.,Implantación estereotáxica de electrodos y material radio activo 22,22.0,4980800.0
1152,Quirur.,Biopsia esterotáxica de lesiones cerebrales 20,20.0,3572200.0
1160,Quirur.,Corrección hundimiento craneano 12,12.0,3641200.0
1161,Quirur.,Craniectomía lineal 12,12.0,3641200.0
1164,Quirur.,Craneoplastia con acrílico 13,13.0,3886300.0
1165,Quirur.,Craneoplastia con remplazo óseo 20,20.0,3572200.0
1166,Quirur.,Tratamiento para descompresión y corrección órbitaria. 21,21.0,4300500.0
1220,Quirur.,Derivación ventrículo atrial 13,13.0,3886300.0
1221,Quirur.,Derivación ventrículo peritoneal 13,13.0,3886300.0
1222,Quirur.,Derivación ventrículo pleural 13,13.0,3886300.0
1223,Quirur.,Derivación ventrículo subaracnoidea cervical 13,13.0,3886300.0
1224,Quirur.,Derivación subduro atrial 13,13.0,3886300.0
1225,Quirur.,Derivación subduro peritoneal 13,13.0,3886300.0
1226,Quirur.,Drenaje de quiste hacia aurícula 13,13.0,3886300.0
1227,Quirur.,Ventriculostomía (drenaje externo) 12,12.0,3641200.0
1240,Quirur.,Eliminación de derivación 9,9.0,2376100.0
1241,Quirur.,Revisión de derivación 10,10.0,3170600.0
1250,Quirur.,Punción cisternal 4,4.0,840100.0
1251,Quirur.,Punción ventricular 5,5.0,1063500.0
1252,Quirur.,Punción subdural 4,4.0,840100.0
1261,Quirur.,Implantación de marcapasos tipo cerebeloso 20,20.0,3572200.0
1262,Quirur.,Nucleotomía percutánea 22,22.0,4980800.0
1301,Quirur.,"Laminectomía para exploración del canal raquídeo, uno o más segmentos Extradural, Subdural o Intramedular (cervical, dorsal, lumbar o sacra) 20",20.0,3572200.0
1311,Quirur.,"Uno o más interespacios cervical, toráxica o lumbar, unilateral 21",21.0,4300500.0
1313,Quirur.,"Uno o más interespacios cervical toráxica o lumbar, bilateral 22",22.0,4980800.0
1315,Quirur.,"Microdiscoidectomía, uno o más interespacios 23",23.0,7112200.0
1321,Quirur.,"Laminectomía para mielotomía, tipo Bischof, dorsal o lumbar 22",22.0,4980800.0
1322,Quirur.,"Laminectomía para rizotomía, uno o dos segmentos 21",21.0,4300500.0
1323,Quirur.,"Laminectomía para rizotomía, más de dos segmentos 22",22.0,4980800.0
1324,Quirur.,"Laminectomía para cordotomía, unilateral, en un tiempo, cervical o dorsal 21",21.0,4300500.0
1325,Quirur.,"Laminectomía para cordotomía, bilateral, en un tiempo, cervical o dorsal 22",22.0,4980800.0
1326,Quirur.,"Laminectomía para cordotomía, bilateral, en dos tiempos, cervical o dorsal 23",23.0,7112200.0
1332,Quirur.,Resección de meningocele raquídeo 21,21.0,4300500.0
1334,Quirur.,Resección de meningomieloradiculocele 22,22.0,4980800.0
1335,Quirur.,Tratamiento de diastematomielia 22,22.0,4980800.0
1341,Quirur.,"Lesión estereotáxia de la médula percutánea, cualquier modalidad, inclusive estimulación y/o registro 21",21.0,4300500.0
1342,Quirur.,"Estimulación estereotáxica de la médula, percutánea o procedimiento separado no seguido de cirugía 12",12.0,3641200.0
1343,Quirur.,"Implantación percutánea de electrodos de neuroestimulación, epidural o intradural 20",20.0,3572200.0
1344,Quirur.,"Laminectomía para implantación de electrodos de neuroestimulación, extradurales 20",20.0,3572200.0
1345,Quirur.,"Laminectomía para implantación de electrodos de neuroestimulación, intradurales 20",20.0,3572200.0
1346,Quirur.,"Revisión o remoción de electrodos de neuro estimulación, espinales 12",12.0,3641200.0
1351,2.4. Pares Craneanos,Reparación fístula líquido cefalorraquídeo 20,20.0,3572200.0
1352,2.4. Pares Craneanos,Injerto dural 20,20.0,3572200.0
1371,2.4. Pares Craneanos,"Disquectomía cervical, abordaje anterior sin artrodesis, un solo interespacio 21",21.0,4300500.0
1372,2.4. Pares Craneanos,"Disquectomía cervical, abordaje anterior con artrodesis, un solo interespacio 22",22.0,4980800.0
1373,2.4. Pares Craneanos,"Disquectomía cervical, abordaje anterior sin artrodesis, dos o más interespacios 22",22.0,4980800.0
1374,2.4. Pares Craneanos,"Disquectomía cervical, abordaje anterior con artrodesis, dos o más interespacios 23",23.0,7112200.0
1375,2.4. Pares Craneanos,Cirugía de Cloward 23,23.0,7112200.0
1376,2.4. Pares Craneanos,Cerclaje cervical 21,21.0,4300500.0
1377,2.4. Pares Craneanos,Cerclaje e injerto por listesis 22,22.0,4980800.0
1378,2.4. Pares Craneanos,Abordaje transoral por lesión cervical 23,23.0,7112200.0
1380,2.4. Pares Craneanos,"Descompresión Medular dorsal o dorso lumbar, por vía anterior 22",22.0,4980800.0
1381,2.4. Pares Craneanos,"Descompresión Medular dorsal o lumbar, por vía antero lateral 22",22.0,4980800.0
1382,2.4. Pares Craneanos,Descomprensión Medular por abordaje costo vertebral 22,22.0,4980800.0
1383,2.4. Pares Craneanos,Discólisis enzimática 12,12.0,3641200.0
1384,2.4. Pares Craneanos,"Laminectomía y sección de los ligamentos dentados, con o sin injerto dural o cervical, uno o dos segmentos 21",21.0,4300500.0
1385,2.4. Pares Craneanos,"Laminectomía y sección de los ligamentos dentados, con o sin injerto dural o cervical, más de dos segmentos 22",22.0,4980800.0
1386,2.4. Pares Craneanos,"Laminectomía para resección u oclusión de malformación arteriovenosa de la médula, cervical, dorsal o dorso lumbar 23",23.0,7112200.0
1387,2.4. Pares Craneanos,"Microcirugía de raíces, médula y nervios, por aracnoiditis 22",22.0,4980800.0
1389,2.4. Pares Craneanos,Instalación de bomba de infusión para dolor 13,13.0,3886300.0
1401,Quirur.,"Anastomosis microquirúrgica de pares craneanos, intra o extracraneana 22",22.0,4980800.0
1402,Quirur.,Rizotomía intracraneana para dolor 22,22.0,4980800.0
1403,Quirur.,"Descompresión neurovascular en hemiespasmo facial, neuralgia del V par, tortícolis espasmódica, vértigo o neuralgia del glosofaríngeo 23",23.0,7112200.0
1404,Quirur.,Descompresión de nervio facial en peñasco y fosa media 23,23.0,7112200.0
1405,Quirur.,Neurólisis percutánea con radiofrecuencia o sustancias químicas 22,22.0,4980800.0
1406,Quirur.,"Rizotomía para dolor, abordaje por fosa media 20",20.0,3572200.0
1407,Quirur.,"Rizotomía para dolor, abordaje por fosa posterior 20",20.0,3572200.0
1408,Quirur.,Gangliolisis con radiofrecuencia 20,20.0,3572200.0
1409,Quirur.,Gangliolisis con fenolización 20,20.0,3572200.0
1501,Quirur.,"Simpatectomía o gangliectomía simpática, incluye cervical torácica, lumbar 12",12.0,3641200.0
1502,Quirur.,Gangliectomía esfenopalatina 20,20.0,3572200.0
1503,Quirur.,Bloqueos simpáticos por regiones 12,12.0,3641200.0
1601,Quirur.,"Exploración plejo cervical, lumbar o sacro 20",20.0,3572200.0
1610,Quirur.,Descompresión de tronco 13,13.0,3886300.0
1611,Quirur.,Reconstrucción de plejo con neurorrafias 21,21.0,4300500.0
1612,Quirur.,Reconstrucción de plejo con injerto de nervio 22,22.0,4980800.0
1613,Quirur.,Reconstrucción de plejo con neurotizaciones 12,12.0,3641200.0
1614,Quirur.,Resección de banda cervical 12,12.0,3641200.0
1620,Quirur.,Resección tumor plejo 20,20.0,3572200.0
2101,Quirur.,Drenaje glándula lagrimal; incluye saco lagrimal 3,3.0,625000.0
2102,Quirur.,Extracción cuerpo extraño glándula lagrimal; Incluye saco lagrimal 6,6.0,1465700.0
2110,Quirur.,Dacriocistectomía 7,7.0,1893100.0
2111,Quirur.,Resección de glándula lagrimal 7,7.0,1893100.0
2112,Quirur.,Resección tumor glándula lagrimal 7,7.0,1893100.0
2120,Quirur.,Conjuntivodacriocistorrinostomía 10,10.0,3170600.0
2121,Quirur.,Dacriocistorrinostomía 11 1,1.0,231000.0
2130,Quirur.,Plastia de canalículos lagrimales 8,8.0,2080700.0
2140,Quirur.,Remoción cálculos canalículos lagrimales 3,3.0,625000.0
2141,Quirur.,Entropión punto lagrimal 3,3.0,625000.0
2142,Quirur.,Ectropión punto lagrimal 3,3.0,625000.0
2143,Quirur.,Oclusión puntos lagrimales 3,3.0,625000.0
2210,Quirur.,Cauterización chalazión 3,3.0,625000.0
2211,Quirur.,Drenaje resección chalazión 5 5,5.0,1063500.0
2220,Quirur.,Fulguración párpado 3,3.0,625000.0
2223,Quirur.,Tarsectomía 4,4.0,840100.0
2224,Quirur.,Resección tumor maligno párpado con reconstrucción total 11,11.0,3405400.0
2230,Quirur.,Blefarorrafia 4,4.0,840100.0
2231,Quirur.,Tarsorrafia 4,4.0,840100.0
2232,Quirur.,Fijación supratarsal para formar pliegue párpado superior 5,5.0,1063500.0
2240,Quirur.,Corrección ectropión 7,7.0,1893100.0
2241,Quirur.,Corrección entropión 7,7.0,1893100.0
2242,Quirur.,Corrección entropión con exceso de laxitud horizontal 8,8.0,2080700.0
2243,Quirur.,Corrección entropión recurrencia 8,8.0,2080700.0
2244,Quirur.,Entropión por infección con ectropión punto lagrimal 8,8.0,2080700.0
2245,Quirur.,Injerto cartílago tarsal 7,7.0,1893100.0
2246,Quirur.,Injerto párpado (corrección ectropión o entropión) 8,8.0,2080700.0
2247,Quirur.,Blefaroplastia 10,10.0,3170600.0
2248,Quirur.,Tarsoplastia 7,7.0,1893100.0
2250,Quirur.,"Electrólisis o electrofulguración de pestañas por distriquiasis o triquiasis 4",4.0,840100.0
2260,Quirur.,Cantoplastia 4,4.0,840100.0
2261,Quirur.,Cantorrafia 4,4.0,840100.0
2262,Quirur.,Cantotomía 3,3.0,625000.0
2263,Quirur.,Corrección epicanto 6,6.0,1465700.0
2264,Quirur.,Corrección epicanto con cuatro colgajos (Mustarde) 8,8.0,2080700.0
2265,Quirur.,Corrección telecanto y blefarofimosis por disrrupción orbital 10,10.0,3170600.0
2266,Quirur.,"Corrección telecanto, blefarofimosis y epicanto (congénita) 11",11.0,3405400.0
2270,Quirur.,"Corrección ptosis palpebral (resección externa o interna del músculo elevador) 11",11.0,3405400.0
2271,Quirur.,Corrección ptosis palpebral (procedimiento de Fassanella y Servat) 8,8.0,2080700.0
2272,Quirur.,Corrección ptosis palpebral deslizamiento músculo frontal 9,9.0,2376100.0
2273,Quirur.,Corrección ptosis palpebral con injerto fascia lata 9,9.0,2376100.0
2301,Quirur.,Peritomía total 4,4.0,840100.0
2302,Quirur.,Resección pterigión 6,6.0,1465700.0
2303,Quirur.,Resección pterigión con injerto de conjuntiva 8,8.0,2080700.0
2304,Quirur.,Resección pterigión reproducido 8,8.0,2080700.0
2305,Quirur.,Resección quiste o tumor conjuntival 6,6.0,1465700.0
2306,Quirur.,Resección quiste o tumor conjuntival con injerto de mucosa 7,7.0,1893100.0
2310,Quirur.,Sutura de la conjuntiva 4,4.0,840100.0
2311,Quirur.,Injerto de la conjuntiva; incluye transplante y plastia 7,7.0,1893100.0
2312,Quirur.,Corrección simbléfaron 7,7.0,1893100.0
2313,Quirur.,Fotocoagulación de conjuntiva por laser 7,7.0,1893100.0
2401,Quirur.,Descompresión de órbita (excepto vía techo órbita) 10,10.0,3170600.0
2402,Quirur.,Drenaje absceso de órbita 4,4.0,840100.0
2403,Quirur.,Extracción cuerpo extraño de órbita 10,10.0,3170600.0
2410,Quirur.,Resección tumor órbita 11,11.0,3405400.0
2420,Quirur.,Exenteración de órbita 20,20.0,3572200.0
