Codigo,Especialidad,Descripcion,GrupoQuirurgico,ValorCOP
1101,Quirur.,Craneotomía para extracción cuerpo extraño; incluye esquirlectomía 9,9,2376100
1102,Quirur.,Craneotomía para drenaje hematoma epidural o subdural 20,20,3572200
1103,Quirur.,Craneotomía para extracción secuestro 8,8,2080700
1104,Quirur.,Craneotomía para drenaje de hematoma de fosa posterior 20,20,3572200
1106,Quirur.,Craneotomía para ruptura de senos de duramadre 20,20,3572200
1107,Quirur.,Trepanación para monitoreo de presión intracraneana 12,12,3641200
1108,Quirur.,Craneotomía para drenaje hematoma intracerebral 13,13,3886300
1110,Quirur.,Tratamiento de malformaciones arterio venosas supratentoriales 21,21,4300500
1111,Quirur.,Tratamiento de malformaciones arterio venosas infratentoriales 23,23,7112200
1112,Quirur.,Tratamiento de malformaciones arterio venosas de línea media e intraventricular 22,22,4980800
1113,Quirur.,Apertura de seno cavernoso por fístula o aneurisma 23,23,7112200
1114,Quirur.,Revascularización supratentorial e infratentorial 22,22,4980800
1116,Quirur.,Endarterectomía de vaso de cuello 21,21,4300500
1117,Quirur.,Embolización para cateterismo de arterias intracraneanas 21,21,4300500
1118,Quirur.,Angioplastia intraluminar 21,21,4300500
1120,Quirur.,Craneotomía para extirpación adenomas hipofisiarios 22,22,4980800
1121,Quirur.,Craneotomía para extirpación adenomas hipofisiarios (vía transesfenoidal) 22,22,4980800
1124,Quirur.,Craneotomía para pinealectomía 23,23,7112200
1125,Quirur.,Craneotomía para resección de tumores de fosa anterior 20,20,3572200
1126,Quirur.,Craneotomía para resección de tumores de fosa media 20,20,3572200
1127,Quirur.,Craneotomía para resección de tumores de fosa posterior 21,21,4300500
1128,Quirur.,Craneotomía para tumores del ángulo ponto cerebeloso 22,22,4980800
1131,Quirur.,Tratamiento por vía anterior para tumores de clivus 23,23,7112200
1132,Quirur.,Craneotomía para tumores de hoz de cerebro 20,20,3572200
1133,Quirur.,Craneotomía para tumores de cuerpo calloso 20,20,3572200
1140,Quirur.,Leucotomía 12,12,3641200
1141,Quirur.,Lobectomía 20,20,3572200
1142,Quirur.,Lobotomía (psicocirugía estereotáxica) 12,12,3641200
1143,Quirur.,Hemisferectomía 22,22,4980800
1144,Quirur.,Extirpación de lesión y/o tejido de las meninges cerebrales 20,20,3572200
1145,Quirur.,Reparación encéfalocele 20,20,3572200
1146,Quirur.,Reparación meningocele craneal 20,20,3572200
1147,Quirur.,Tratamiento de platibasia (Síndrome de Arnold Chiari) 22,22,4980800
1148,Quirur.,Corrección de enfermedad de Crouzón 23,23,7112200
1149,Quirur.,Injertos intracraneanos (médula suprarrenal) 22,22,4980800
1150,Quirur.,Punción estereotáxica de quistes  abcesos y hematomas intracraneanos 20,20,3572200
1151,Quirur.,Implantación estereotáxica de electrodos y material radio activo 22,22,4980800
1152,Quirur.,Biopsia esterotáxica de lesiones cerebrales 20,20,3572200
1160,Quirur.,Corrección hundimiento craneano 12,12,3641200
1161,Quirur.,Craniectomía lineal 12,12,3641200
1164,Quirur.,Craneoplastia con acrílico 13,13,3886300
1165,Quirur.,Craneoplastia con remplazo óseo 20,20,3572200
1166,Quirur.,Tratamiento para descompresión y corrección órbitaria. 21,21,4300500
1220,Quirur.,Derivación ventrículo atrial 13,13,3886300
1221,Quirur.,Derivación ventrículo peritoneal 13,13,3886300
1222,Quirur.,Derivación ventrículo pleural 13,13,3886300
1223,Quirur.,Derivación ventrículo subaracnoidea cervical 13,13,3886300
1224,Quirur.,Derivación subduro atrial 13,13,3886300
1225,Quirur.,Derivación subduro peritoneal 13,13,3886300
1226,Quirur.,Drenaje de quiste hacia aurícula 13,13,3886300
1227,Quirur.,Ventriculostomía (drenaje externo) 12,12,3641200
1240,Quirur.,Eliminación de derivación 9,9,2376100
1241,Quirur.,Revisión de derivación 10,10,3170600
1250,Quirur.,Punción cisternal 4,4,840100
1251,Quirur.,Punción ventricular 5,5,1063500
1252,Quirur.,Punción subdural 4,4,840100
1261,Quirur.,Implantación de marcapasos tipo cerebeloso 20,20,3572200
1262,Quirur.,Nucleotomía percutánea 22,22,4980800
1301,Quirur.,Laminectomía para exploración del canal raquídeo  uno o más segmentos Extradural  Subdural o Intramedular (cervical  dorsal  lumbar o sacra) 20,20,3572200
1311,Quirur.,Uno o más interespacios cervical  toráxica o lumbar  unilateral 21,21,4300500
1313,Quirur.,Uno o más interespacios cervical toráxica o lumbar  bilateral 22,22,4980800
1315,Quirur.,Microdiscoidectomía  uno o más interespacios 23,23,7112200
1321,Quirur.,Laminectomía para mielotomía  tipo Bischof  dorsal o lumbar 22,22,4980800
1322,Quirur.,Laminectomía para rizotomía  uno o dos segmentos 21,21,4300500
1323,Quirur.,Laminectomía para rizotomía  más de dos segmentos 22,22,4980800
1324,Quirur.,Laminectomía para cordotomía  unilateral  en un tiempo  cervical o dorsal 21,21,4300500
1325,Quirur.,Laminectomía para cordotomía  bilateral  en un tiempo  cervical o dorsal 22,22,4980800
1326,Quirur.,Laminectomía para cordotomía  bilateral  en dos tiempos  cervical o dorsal 23,23,7112200
1332,Quirur.,Resección de meningocele raquídeo 21,21,4300500
1334,Quirur.,Resección de meningomieloradiculocele 22,22,4980800
1335,Quirur.,Tratamiento de diastematomielia 22,22,4980800
1341,Quirur.,Lesión estereotáxia de la médula percutánea  cualquier modalidad  inclusive estimulación y/o registro 21,21,4300500
1342,Quirur.,Estimulación estereotáxica de la médula  percutánea o procedimiento separado no seguido de cirugía 12,12,3641200
1343,Quirur.,Implantación percutánea de electrodos de neuroestimulación  epidural o intradural 20,20,3572200
1344,Quirur.,Laminectomía para implantación de electrodos de neuroestimulación  extradurales 20,20,3572200
1345,Quirur.,Laminectomía para implantación de electrodos de neuroestimulación  intradurales 20,20,3572200
1346,Quirur.,Revisión o remoción de electrodos de neuro estimulación  espinales 12,12,3641200
1351,2.4. Pares Craneanos,Reparación fístula líquido cefalorraquídeo 20,20,3572200
1352,2.4. Pares Craneanos,Injerto dural 20,20,3572200
1371,2.4. Pares Craneanos,Disquectomía cervical  abordaje anterior sin artrodesis  un solo interespacio 21,21,4300500
1372,2.4. Pares Craneanos,Disquectomía cervical  abordaje anterior con artrodesis  un solo interespacio 22,22,4980800
1373,2.4. Pares Craneanos,Disquectomía cervical  abordaje anterior sin artrodesis  dos o más interespacios 22,22,4980800
1374,2.4. Pares Craneanos,Disquectomía cervical  abordaje anterior con artrodesis  dos o más interespacios 23,23,7112200
1375,2.4. Pares Craneanos,Cirugía de Cloward 23,23,7112200
1376,2.4. Pares Craneanos,Cerclaje cervical 21,21,4300500
1377,2.4. Pares Craneanos,Cerclaje e injerto por listesis 22,22,4980800
1378,2.4. Pares Craneanos,Abordaje transoral por lesión cervical 23,23,7112200
1380,2.4. Pares Craneanos,Descompresión Medular dorsal o dorso lumbar  por vía anterior 22,22,4980800
1381,2.4. Pares Craneanos,Descompresión Medular dorsal o lumbar  por vía antero lateral 22,22,4980800
1382,2.4. Pares Craneanos,Descomprensión Medular por abordaje costo vertebral 22,22,4980800
1383,2.4. Pares Craneanos,Discólisis enzimática 12,12,3641200
1384,2.4. Pares Craneanos,Laminectomía y sección de los ligamentos dentados  con o sin injerto dural o cervical  uno o dos segmentos 21,21,4300500
1385,2.4. Pares Craneanos,Laminectomía y sección de los ligamentos dentados  con o sin injerto dural o cervical  más de dos segmentos 22,22,4980800
1386,2.4. Pares Craneanos,Laminectomía para resección u oclusión de malformación arteriovenosa de la médula  cervical  dorsal o dorso lumbar 23,23,7112200
1387,2.4. Pares Craneanos,Microcirugía de raíces  médula y nervios  por aracnoiditis 22,22,4980800
